Column1,onset,duration,sample_rate,amplitude,phase,frequency,decay,power,d,w,z,id,onset_s,similarity,f0
732,6000,250,44100,0.0002352334786598,0.2566481080079625,203.9504227653497,34.24526666716889,1.1601182069309294e-7,(0.00022752870104599129+5.9711637749666185e-05j),(1281.4582997123102+215.16935636360242j),(1.0044668269518-0.02919602629912715j),22,0.1360544217687075,1.0,-1
825,6500,250,44100,0.1694761375288683,-1.371203797947227,407.00637068280776,0.2826795578649501,0.01424465521689372,(0.03360202793337559-0.16611160378031553j),(2557.296448202706+1.776128044617076j),(0.9983593414242455-0.057958421820182154j),23,0.1473922902494331,0.05745640163936796,1
917,7000,250,44100,0.1707999696011947,1.046069172701374,407.27908288481433,0.0614354348461919,0.014354717546437743,(0.08556683688690925+0.14782065498751562j),(2559.0099495034424+0.3860102215657818j),(0.9983256190393274-0.05799538477736181j),24,0.15873015873015872,-3.443056298884486e-5,1
965,7250,250,44100,0.1701802488795241,-0.9009343735600456,407.1810718122549,0.5889453387826329,0.014520994491404204,(0.10566113462629358-0.13340555362570572j),(2558.394127772396+3.700452699370943j),(0.998401463265976-0.057985801841362476j),25,0.16439909297052155,0.0043386193060870794,1
1061,7750,250,44100,0.1754226774777564,1.4957424654380105,408.4869425311093,0.3770104091614631,0.01531318009822965,(0.013153791795314063+0.17492882419678718j),(2566.599155486178+2.3688262634970694j),(0.998360510873633-0.05816980197180611j),26,0.17573696145124718,0.021369509090890415,1
1084,8000,250,44100,0.1790697224049794,-0.4975980053896652,408.50645436722704,-0.1443788898162862,0.015663684622848596,(0.15735422488086892-0.08547288104619694j),(2566.721751968189-0.90715931916059j),(0.998286188329031-0.058168256167495436j),27,0.18140589569160998,-0.0012334528266722171,1
1153,8250,250,44100,0.1774685257521936,-2.4848181356810786,408.2187833451211,0.3565729862663872,0.015661030726551364,(-0.14054898807597468-0.10835617002956745j),(2564.914261628792+2.2404141482461126j),(0.9983598255249808-0.05813148908830367j),28,0.1870748299319728,-0.015641827658847453,1
1189,8500,250,44100,0.1796591460171228,1.821348133285638,408.508702109734,-0.1785746694112217,0.01574789183103347,(-0.04454443242006245+0.17404942484241753j),(2566.735874950883-1.1220177390790402j),(0.9982813059893921-0.058168292466828225j),29,0.1927437641723356,-8.268548060841908e-9,1
1255,8750,250,44100,0.0229799190075605,-1.1329063020991728,413.4804789121071,13.612870392118296,0.000436909774911511,(0.009744163904083074-0.02081172619953493j),(2597.9744699061303+85.53218723629769j),(1.0002032692872778-0.058991219392946645j),30,0.1984126984126984,0.010463733797925485,1
1301,9000,250,44100,0.1791412160622626,-2.1741065324035462,409.7327015167611,0.4197059841703231,0.015993587857054296,(-0.10163960353413667-0.14751598654278045j),(2574.426490041112+2.637090473074322j),(0.9983562436272639-0.05834735557127576j),31,0.20408163265306123,-0.017375891021751494,1
1369,9500,250,44100,0.1806228481460458,0.0503451098685285,410.20408538679015,-0.0422483250120247,0.015994356876021267,(0.18039399043859225+0.009089636188022637j),(2577.38828224732-0.265454054968502j),(0.9982866159912199-0.058410561310538865j),32,0.21541950113378686,0.0005247368535482802,1
1421,9750,250,44100,0.1788375140180177,-2.003369903654341,410.2988627440089,-0.605789155192067,0.015370556201108538,(-0.07497024400486693-0.16236477122207088j),(2577.98378594565-3.8062855191515297j),(0.9982056770414423-0.058419350919533326j),33,0.22108843537414966,0.0024270999937173023,1
1474,10000,250,44100,0.1806915508989669,2.2212859899682296,411.7216288703035,-0.8427209527215053,0.015560698025107924,(-0.10942249302382889+0.14379205328085437j),(2586.9232891659376-5.294971908192145j),(0.9981601188357105-0.05861971695182407j),34,0.22675736961451248,0.00014600848626675,1
1535,10250,250,44100,0.1760500756820176,0.12369007976868,412.0607703659944,-0.505273528581238,0.014948003139998117,(0.17470507597039003+0.021720165234739137j),(2589.0541780287176-3.1747272108884195j),(0.9982052758669497-0.058670768168527j),35,0.23242630385487528,-0.004972560741079826,1
1650,10750,250,44100,0.1690528020819789,2.1731412124204885,412.5830356584031,-0.7040536462933125,0.013687209554841545,(-0.09578130044130968+0.13930108534229133j),(2592.3356676404296-4.423699525856354j),(0.9981726373855686-0.05874338093908578j),36,0.2437641723356009,0.034962600779191604,1
