,onset,duration,sample_rate,amplitude,phase,frequency,decay,power,d,w,z,f0
333,500,250,44100,0.003216824686126,-2.137670143429028,-4977.982190397768,0.012682993373754,1.0352618506131487e-05,(-0.001727426747737902-0.0027136613444697826j),(-31277.58455810891+0.07968959761702754j),(0.7588569368448492+0.651260135007273j),0
334,500,250,44100,0.003216824686126,2.137670143429028,4977.982190397768,0.012682993373754,1.0352618506131487e-05,(-0.001727426747737902+0.0027136613444697826j),(31277.58455810891+0.07968959761702754j),(0.7588569368448492-0.651260135007273j),0
335,500,250,44100,0.0060169241696567,1.5164939423884891,-3422.4237538247858,0.0048094040597347,3.620955421537813e-05,(0.0003265727771177649+0.006008055149933735j),(-21503.7226449743+0.030218376924415202j),(0.8834544464381031+0.4685185284677834j),0
336,500,250,44100,0.0060169241696567,-1.5164939423884891,3422.4237538247858,0.0048094040597347,3.620955421537813e-05,(0.0003265727771177649-0.006008055149933735j),(21503.7226449743+0.030218376924415202j),(0.8834544464381031-0.4685185284677834j),0
337,500,250,44100,0.0083919606790334,-2.2437622424279007,-2800.1228188163877,0.0105080011500328,7.045126410210184e-05,(-0.005230776237522989-0.006562315444369332j),(-17593.690553485412+0.0660237184337123j),(0.9214707941855833+0.3884515024303782j),0
338,500,250,44100,0.0083919606790334,2.2437622424279007,2800.1228188163877,0.0105080011500328,7.045126410210184e-05,(-0.005230776237522989+0.006562315444369332j),(17593.690553485412+0.0660237184337123j),(0.9214707941855833-0.3884515024303782j),0
339,500,250,44100,0.0102205098701247,-1.1540985272353097,-2489.0139443263115,0.0052374464619553,0.0001044782335123,(0.00413668015978818-0.009345945605498247j),(-15638.935844356189+0.032907846656897444j),(0.9377776789370468+0.3472384156568919j),0
340,500,250,44100,0.0102205098701247,1.1540985272353097,2489.0139443263115,0.0052374464619553,0.0001044782335123,(0.00413668015978818+0.009345945605498247j),(15638.935844356189+0.032907846656897444j),(0.9377776789370468-0.3472384156568919j),0
341,500,250,44100,0.1028777633646235,-0.2886151954631399,-622.2527405310318,0.0007260394528434,0.0105841068109108,(0.09862263048650749-0.029281580401837537j),(-3909.7292766568107+0.004561840422538828j),(0.9960727339192653+0.08853990980799947j),0
342,500,250,44100,0.1028777633646235,0.2886151954631399,622.2527405310318,0.0007260394528434,0.0105841068109108,(0.09862263048650749+0.029281580401837537j),(3909.7292766568107+0.004561840422538828j),(0.9960727339192653-0.08853990980799947j),0
343,500,250,44100,0.3263081679659368,-0.0588857286248645,-311.1248521863852,0.0002391701894317,0.1064779239352411,(0.32574258990063837-0.019203791451445296j),(-1954.8550999559159+0.00150275062015281j),(0.9990177188666667+0.04431326598660245j),0
344,500,250,44100,0.3263081679659368,0.0588857286248645,311.1248521863852,0.0002391701894317,0.1064779239352411,(0.32574258990063837+0.019203791451445296j),(1954.8550999559159+0.00150275062015281j),(0.9990177188666667-0.04431326598660245j),0
