,onset,duration,sample_rate,amplitude,phase,frequency,decay,power,d,w,z
172,0,250,44100,0.0963499462213113,-1.226591457369654,886.4106191578916,-8.037091325696816,0.0070760226109202,(0.032513124839823444-0.09069845009700905j),(5569.482178420824-50.49853413007873j),(0.9909004236506418-0.12581251099704727j)
286,250,250,44100,0.0697777885667206,-1.4159047824629116,892.4902057520425,-5.41176706243697,0.0040433388575269,(0.010764824793531982-0.06894242760758082j),(5607.681347582919-34.0031352925824j),(0.9911617439389824-0.12671816547635706j)
386,500,250,44100,0.0562952948618357,-1.8102137512068843,894.0883101672939,-3.868888287189356,0.0027714623066055,(-0.013349680917992763-0.05468954418322403j),(5617.722533764166-24.308942041187354j),(0.9913507633482059-0.12697174933259173j)
525,750,250,44100,0.0491555461104649,-2.2497991904912613,895.4638252663003,1.1620633734172574,0.0025186814540973,(-0.030870536571054586-0.03825281277544476j),(5626.365150024047+7.301459513866857j),(0.9920366870281508-0.12725721343479612j)
649,1000,250,44100,0.0469270183926422,-2.7236276888492985,899.6866771051374,0.0027345969457319,0.0022023587077426,(-0.042887393107137475-0.01904774442544939j),(5652.898110652224+0.017181979350481408j),(0.9917961078103675-0.12783293691610825j)
787,1250,250,44100,0.0492601776123987,2.886189409673539,893.7922562198345,1.6018268497993755,0.0025698470800309,(-0.04766225137003845+0.01244487415542411j),(5615.862371951356+10.0645749273052j),(0.9921291268231447-0.12702890695665628j)
920,1500,250,44100,0.0523102037389488,2.4754649789465666,893.2557624011888,0.6645644813224503,0.0028018990605132,(-0.04112735155691044+0.032324887766620805j),(5612.491481872649+4.175581784718642j),(0.9920063550310415-0.12693611896481835j)
965,1750,250,44100,0.0494866106702664,2.120904018651107,892.261510213649,-9.011512589499208,0.0018095256836761,(-0.025870562613576592+0.042185763305735514j),(5606.244411136267-56.62100349780529j),(0.9906576566724434-0.12662091221006833j)
1205,2000,250,44100,0.012851471225398,2.6183567923605757,873.8002385268993,3.626608543596586,0.0001883600734679,(-0.011132031816005163+0.006421696061375243j),(5490.248820122231+22.786653516018028j),(0.9927732846324737-0.12423827024365278j)
1286,2250,250,44100,0.020260421818537,0.6097757765745544,907.3385860907356,-2.306425139056237,0.0003786602405639,(0.016609016624148584+0.011602812548852502j),(5700.97647276241-14.491696545827782j),(0.9913299526640993-0.12887172333225055j)
1618,2750,250,44100,0.0323046741935899,-1.1553505599776392,886.8497572332412,2.711349605565296,0.0011507474750248,(0.013038096041680335-0.029556725569012524j),(5572.241364323684+17.035912004315033j),(0.9924111587985153-0.12606741905161814j)
1750,3000,250,44100,0.0351269256067611,-1.3229314277970403,887.0825653318457,1.354417054865777,0.0012951395343823,(0.008617852737998912-0.034053392147759654j),(5573.704140748228+8.510053338926097j),(0.9922151330319957-0.12607596015950814j)
1814,3250,250,44100,0.0374957324475755,-1.514271371197882,883.6719152617572,-0.1005074294160395,0.0014009288158828,(0.0021183161627691682-0.03743584763852317j),(5552.274394339917-0.6315068037692493j),(0.9920706114072912-0.12556776110026885j)
2023,3500,250,44100,0.036326753283676,-1.5871504572795003,884.4547083253574,2.8941581599574198,0.0014649172205056,(-0.0005940659812149131-0.03632189545911708j),(5557.192828215692+18.184532027298363j),(0.9924799694452089-0.12573203941227107j)
2171,3750,250,44100,0.0398008715258603,-1.65912603080624,886.4626260090623,2.063551970566707,0.0017059636733639,(-0.0035110294534540934-0.03964570653166646j),(5569.808947103973+12.965679422066215j),(0.9923265192488602-0.12600105071381448j)
2328,4000,250,44100,0.0418288660917008,-1.8432658695271595,888.0945777035986,4.719776658693656,0.0020783307234677,(-0.011256595197101817-0.040285767996725855j),(5580.06280201311+29.655231355073138j),(0.9926727993008884-0.12627955802331473j)
2478,4250,250,44100,0.0497588189249718,-2.0541025997030755,890.6791217683156,3.6979933399589497,0.0028312034920797,(-0.02312338558940397-0.04405960848318882j),(5596.301971306298+23.23517741967804j),(0.9924817359634482-0.12662665087151073j)
2622,4500,250,44100,0.0559784156615886,-2.3852623500385097,890.4771759832993,6.187967601710701,0.0039345162262787,(-0.04071641882859222-0.0384155731150305j),(5595.033108517036+38.88014711637198j),(0.9928375366888894-0.1266430148004564j)
2755,4750,250,44100,0.067868803501413,-2.6646392766599347,890.361597304098,3.866340960437048,0.0053000737946846,(-0.06029448697718274-0.03115685043247724j),(5594.306906258056+24.292936715164668j),(0.9925112690484136-0.12658478745413354j)
2897,5000,250,44100,0.075714384854941,-3.007526760152289,889.588743391615,0.6323206486650322,0.0058632151460247,(-0.07503497095140935-0.010120336372042254j),(5589.450921910547+3.972987809118396j),(0.9920679813547957-0.12641723560174317j)
2962,5250,250,44100,0.0773230267997368,2.9863843611036955,889.3252128924004,-3.24121170065288,0.0053412616360916,(-0.07639355399942353+0.011953049017300496j),(5587.795110949887-20.365133735000736j),(0.9915253683626417-0.12631025864393383j)
3114,5500,250,44100,0.0715630954542198,2.722955677547489,889.1194201259276,-8.075675451525123,0.0038987626701953,(-0.0653831841399912+0.029091508429536474j),(5586.502076863262-50.740965342573524j),(0.990846346932241-0.12619423474862493j)
3265,5750,250,44100,0.0543098578597175,2.458226049055505,892.3702975543707,-10.14022959143547,0.0021034203229157,(-0.04211465633178514+0.03429163721373417j),(5606.927942157097-63.712941580335j),(0.9904963945743475-0.1266159035981429j)
3387,6000,250,44100,0.0367950721188274,2.042517816540669,900.9473396804926,-11.471997788780184,0.0009265022033065,(-0.016720432833243357+0.03277658399068935j),(5660.819087223007-72.08068795046034j),(0.9901530334630043-0.12780196451642725j)
3774,6500,250,44100,0.0222511406518151,0.3139572086007083,899.6033183337497,10.627384335698355,0.000739206296558,(0.02116348121825876+0.006871704521533839j),(5652.374352044616+66.77382511181041j),(0.9933001025538285-0.12801479430609838j)
3924,6750,250,44100,0.0328325535902417,-0.306500070063165,895.0558543682506,6.469376829744975,0.0013681105376543,(0.03130240617901353-0.009906358698338598j),(5623.801793271664+40.64829344326168j),(0.9927945140503586-0.12729577019146449j)
4073,7000,250,44100,0.0003416140497142,1.7823145880630011,446.8110550907751,21.12552000415155,2.7089040082998575e-07,(-7.172001322579199e-05+0.00033400059680347365j),(2807.3966564317666+132.73555689661345j),(1.0009827047093287-0.0638085663960676j)
4206,7250,250,44100,0.0488800690720604,-1.0740955733656257,890.2210658837217,3.089180731137159,0.0026713781696978,(0.023292700698682105-0.04297337834812407j),(5593.423921302351+19.40989498110329j),(0.9924039118074481-0.12655090171296374j)
4340,7500,250,44100,0.0548621181352458,-1.352276516131426,889.4149967658641,1.4222982666666584,0.0031669746637876,(0.011893277232586909-0.0535574641199012j),(5588.359239664456+8.936563571546941j),(0.9921827770757234-0.1264069038608321j)
4478,7750,250,44100,0.0563949494672346,-1.6235413415764133,889.1274253893749,2.117117912588688,0.0034317125222419,(-0.0029731734161381656-0.05631652124598531j),(5586.552375416934+13.302244161943959j),(0.9922861819169312-0.12637876231289413j)
4629,8000,250,44100,0.0600138711625968,-1.8694360023660743,888.8680415161291,0.1406733681756816,0.0036196992619663,(-0.017657303142784495-0.05735751369824694j),(5584.922618475637+0.883876840032907j),(0.9920114662555529-0.12630651898611048j)
4782,8250,250,44100,0.0600900461920378,-2.117016916314616,889.5879511483787,0.0225676404101624,0.0036137060900028,(-0.031214463335187806-0.05134657661477981j),(5589.445944099484+0.14179666664284502j),(0.991981813378741-0.1264061416005217j)
4844,8500,250,44100,0.0555925097572144,-2.33608398781339,891.512061333888,-2.838613230836777,0.0027992201355776,(-0.038511404457723136-0.04009237917359909j),(5601.535484946471-17.835532944759212j),(0.9915428391795249-0.12662644830311193j)
5021,8750,250,44100,0.0019334936771276,-1.4410694995047024,444.54664779932807,-36.91248723580457,1.3261103010361618e-06,(0.0002501230648619614-0.0019172470503084698j),(2793.1689658086766-231.9279974514613j),(0.9927600565835488-0.06296282360694404j)
5181,9000,250,44100,0.0514607491439098,-2.948690418462545,891.826636240642,-2.14738976724138,0.0024563498814455,(-0.0505062545139532-0.009865442586331423j),(5603.512017378595-13.49244783431883j),(0.9916348168925478-0.12668336396094276j)
5338,9250,250,44100,0.0478892252118147,2.977570289705647,892.6834403030051,-1.1521797095155315,0.0022021434645168,(-0.047246478200667553+0.007819730751231655j),(5608.895476074367-7.239358622058431j),(0.9917599598258702-0.12682239704439063j)
5564,9500,250,44100,0.0454967595901206,2.5831943834785585,891.4816027063224,0.1561198411069965,0.0020814622878538,(-0.03858602204121039+0.024105477307791716j),(5601.344107745274+0.9809298918026921j),(0.9919665478694102-0.12667618368895356j)
5722,9750,250,44100,0.0452867699402742,2.246000582252045,892.5891851986453,0.6183937164888013,0.0020965515763095,(-0.02830680202242542+0.035349915005365114j),(5608.303253787527+3.885482313494615j),(0.992011880134411-0.12684107200870562j)
5869,10000,250,44100,0.0467090953479404,1.8687541211285024,890.1208842784152,1.9934370046077092,0.0023435873014889,(-0.013712323643429829+0.0446509996362996j),(5592.794461711839+12.525134098139246j),(0.9922507986885883-0.12651698366525033j)
6016,10250,250,44100,0.0492164226855817,1.5508719064997416,886.7277750886435,2.418058663480184,0.002642484863189,(0.000980543811547128+0.04920665397890294j),(5571.474927905009+15.193110666276999j),(0.9923718806491453-0.1260449042791611j)
6164,10500,250,44100,0.0537488746591892,1.371340204264432,885.4087541966724,0.6599856639656022,0.0029576536153415,(0.010649601289455149+0.05268327551989216j),(5563.187275216714+4.146812226777835j),(0.9921470035284751-0.12582688552604823j)
6316,10750,250,44100,0.0547968010117684,1.2473357983677953,886.4164158220381,0.589362917969665,0.0030663573498448,(0.017417137266397195+0.051955103027198635j),(5569.51859993582+3.7030764267834866j),(0.9921189458710167-0.125968056746516j)
6371,11000,250,44100,0.0556956859392958,1.0975487347955664,885.6904037774669,-1.3696903591210294,0.0029560530747584,(0.025384943093460684+0.0495743290059527j),(5564.956931724535-8.606018339814783j),(0.9918550875520336-0.12583030571470352j)
6550,11250,250,44100,0.0535470602850622,0.9338256197047556,888.5317556286598,-2.850237224472085,0.002595988311049,(0.03184780603814451+0.0430465435979338j),(5582.809671928478-17.908568650779326j),(0.9915948758952091-0.12620519736957508j)
6701,11500,250,44100,0.0485884562555055,0.7139097962962435,892.1301499212839,-2.8068939063001417,0.0021406367033473,(0.03672352202609997+0.03181542096675331j),(5605.419050077332-17.636234550876964j),(0.9915361652454566-0.1267143384039085j)
6851,11750,250,44100,0.0445166395121661,0.3364415628232625,890.5408276479068,-0.3805125877114048,0.0019552189220989,(0.04202083135000108+0.014696289535488767j),(5595.433043720876-2.3908311003051823j),(0.9919076769984052-0.12653354683798307j)
7013,12000,250,44100,0.043542543658094,0.0369368021212905,891.0386017855291,-0.7292329454943829,0.0018477404034562,(0.04351284389338657+0.001607956630881994j),(5598.560650868679-4.5819057286415985j),(0.9918494201430381-0.1265976033417689j)
7171,12250,250,44100,0.0425161757489673,-0.2823589346727088,891.6283306937985,-1.63733687787057,0.0017065841143536,(0.04083257175592927-0.011845939562312651j),(5602.266026880336-10.287691013939662j),(0.9917104609787064-0.12666455091207685j)
7419,12500,250,44100,0.0394468048882815,-0.6329319115337637,890.3588925720449,0.7395775857611642,0.0015976025450946,(0.03180582929861476-0.023333230349043686j),(5594.28991192536+4.646903020373897j),(0.9920692641289477-0.12652802566963076j)
7496,12750,250,44100,0.0411994150897355,-0.90129937747133,888.667331770673,-1.3497092963138986,0.0016186541989562,(0.025568011195776705-0.032305860261397874j),(5583.661521951979-8.480473619563186j),(0.9918044521103488-0.12625133957997975j)
7683,13000,250,44100,0.0406107881791917,-1.1596093875061142,886.0158100679624,-3.228841167598683,0.0014739822338944,(0.01623203512491325-0.03722575925671312j),(5567.001519747841-20.287407383472626j),(0.9915865623643327-0.1258429522878207j)
7851,13250,250,44100,0.0359067356846347,-1.2917257206944457,884.2481635149563,-3.269219406472481,0.0011507029261897,(0.009890953084327588-0.03451757109951184j),(5555.895068897706-20.541111340694265j),(0.9916125193940287-0.12559249771397168j)
8001,13500,250,44100,0.0330182304708074,-1.391289444686047,883.912636704214,-1.1695776773496762,0.0010461964230457,(0.00589522017328824-0.032487688784088815j),(5553.786891770285-7.348673277928712j),(0.9919152074689164-0.1255826562734552j)
8162,13750,250,44100,0.0311428773732412,-1.4436554761738052,888.2316102725974,-0.2063085667507299,0.0009628147474907,(0.003948873034383797-0.030891507131298353j),(5580.923803037249-1.2962749553534654j),(0.9919738741813244-0.1262103271917109j)
8343,14000,250,44100,0.0306761895918201,-1.6668024989485095,888.0933935054813,-0.5999132432314207,0.000921282594566,(-0.0029405813628203123-0.030534924089015345j),(5580.055361476899-3.769366075454116j),(0.9919207317475871-0.12618371619405552j)
8553,14250,250,44100,0.0300425211160487,-1.901759095597059,888.9619521805981,1.294928436261365,0.0009453181627493,(-0.009762428337702037-0.02841211129007252j),(5585.512676582816+8.136275324566444j),(0.9921729290606458-0.12634056752833278j)
8709,14500,250,44100,0.031107040448986,-2.124411041475279,890.4122291828451,4.193505591100716,0.0011270454749474,(-0.016355006820291642-0.026460569105804774j),(5594.625035734674+26.348572715579465j),(0.9925566208869374-0.1265978482245307j)
8876,14750,250,44100,0.03363925795282,-2.4582973401456543,890.789145275841,2.7613625667136006,0.0012500799652083,(-0.02608712446818788-0.021238211144012163j),(5596.993269392226+17.350152706970604j),(0.9923473160020019-0.12662530976577j)
9043,15000,250,44100,0.0364168241215816,-2.7552186582574025,893.995114950965,0.158957001451538,0.0013336920022743,(-0.033732231983889055-0.013723031898501903j),(5617.136970950229+0.9987562959936278j),(0.9919215206059399-0.12703146482171374j)
9199,15250,250,44100,0.0366107301599625,3.08856400130511,893.9874533464479,1.5009021258407642,0.0014143223139881,(-0.036559266839858696+0.0019405079174285318j),(5617.088831669297+9.430446184597296j),(0.992111327648776-0.12705467191456682j)
9369,15500,250,44100,0.0386707197869776,2.646463001542907,894.0347549039986,3.593395609300027,0.0017033894379367,(-0.03402664142915341+0.018374227654373992j),(5617.386036120707+22.577970495237565j),(0.992406293156688-0.12709924450218274j)
9523,15750,250,44100,0.0440882996537606,2.237587523320837,891.5690305937272,2.15217760725117,0.0021000570288822,(-0.027267187727663764+0.03464503773679768j),(5601.893433362854+13.522530720321468j),(0.9922471149445328-0.12672457405749907j)
9688,16000,250,44100,0.0475512857900701,1.8992856400770532,891.4266884084496,1.688888907370576,0.0024021910992614,(-0.015340686052274767+0.04500875616737782j),(5600.999071035726+10.611601968249389j),(0.9921841910414606-0.12669608777530317j)
9844,16250,250,44100,0.0506536447338157,1.5825307154152124,890.3071882175428,2.606272567051932,0.0028183859931295,(-0.0005943759116042047+0.05065015737483277j),(5593.965043884836+16.37569349980592j),(0.9923340812412901-0.12655437126118582j)
10012,16500,250,44100,0.056356943785801,1.295939032061079,890.3178412723512,2.105175346219199,0.0034256004881141,(0.015295815065595285+0.054241526106434804j),(5594.031979002284+13.22720680440117j),(0.9922630447446494-0.12654684238860212j)
10178,16750,250,44100,0.0621053902276069,0.9853208045547786,889.782711930897,1.4964210439787442,0.0040693020572342,(0.03431917584217906+0.05176170075294025j),(5590.669662186619+9.402290716881582j),(0.9921866313251778-0.1264602201744181j)
10339,17000,250,44100,0.0659314994902125,0.7001866813167116,887.2508392355538,0.3528381998590533,0.0044018334112319,(0.05041926225569659+0.0424836511921844j),(5574.761436867589+2.2169477931660984j),(0.9920705307137637-0.12608175519813558j)
10414,17250,250,44100,0.0696045988528505,0.4373183699049162,884.6409141139462,-2.5929033266772104,0.0044253089359217,(0.06305415326835255+0.02947836388060474j),(5558.362793690665-16.29169208511532j),(0.9917010444348526-0.12566009351491023j)
10590,17500,250,44100,0.0642174033333748,0.3415078169994274,885.1763534532171,-5.704643281607314,0.0033915404458004,(0.06050889687328981+0.021506935859366878j),(5561.7270582800575-35.84333084969582j),(0.9912518885001723-0.12568001491033523j)
10724,17750,250,44100,0.052765377711995,0.2190348489463757,884.443646542324,-7.149065974692799,0.0021839062877199,(0.05150468722077947+0.011465264034429466j),(5557.123324983066-44.9189062922473j),(0.9910610264681161-0.12555069401312613j)
10898,18000,250,44100,0.0339735065064563,0.1888511114863659,875.5146652074034,-8.840956424850946,0.0008574723710244,(0.033369476748635815+0.006377865306392437j),(5501.020880651411-55.54936751003843j),(0.9909810372815409-0.1242598434437627j)
11041,18250,250,44100,0.0227112304881391,0.4936177874267977,865.7511296101052,-2.6750933663033982,0.0004698102308207,(0.02000006516979077+0.0107609192678647j),(5439.674777240342-16.80810733449109j),(0.9920240294840177-0.12298919847145096j)
11319,18500,250,44100,0.0208971457984077,1.382281646366649,873.2444590081815,10.91349069388512,0.0006594830383625,(0.003916127151213696+0.02052692501704621j),(5486.756754416192+68.57148437786014j),(0.9938143667595202-0.12428862702605827j)
11489,18750,250,44100,0.0308851373892059,1.7046120996482834,874.854349963716,12.208724777726989,0.0015177640761323,(-0.004120595106278377+0.03060902493579704j),(5496.871997614168+76.70968014281357j),(0.9939692422100934-0.12453955590397273j)
11672,19000,250,44100,0.0490534445826096,1.9573529194667256,878.5345060320242,7.203558298275929,0.0031410930218396,(-0.018493213791199746+0.04543392420969304j),(5519.99510015069+45.261291659138905j),(0.9931952898934452-0.12497155909854647j)
