,onset,duration,sample_rate,amplitude,phase,frequency,decay,power,d,w,z
129,0,250,44100,0.0547332926613525,2.865959936260129,1175.4750952080317,-9.66383273493113,0.002168465737479,(-0.05266728560174686+0.014895984455459676j),(7385.72784716663-60.7196518511604j),(0.9846518420228635-0.16646564906377614j)
347,250,250,44100,0.0182993278024995,-1.7583944822372457,1194.8759111927454,8.243487637026643,0.0004550951744682,(-0.0034128197120395967-0.017978266313425403j),(7507.626769109079+51.79536040088237j),(0.9867021698640974-0.16961894049445653j)
510,500,250,44100,0.0341792448091461,-0.2232105862990498,1183.8937402768586,5.067374541800263,0.0014059008743763,(0.033331318440641126-0.007565975596849251j),(7438.623754169444+31.839253267015298j),(0.9865198432503719-0.16799880638113604j)
666,750,250,44100,0.0310037865712793,1.49582029266222,1188.296934301565,1.735783104248212,0.0010229390443967,(0.00232236370762986+0.03091668495435638j),(7466.289838170139+10.906246897062937j),(0.9859461437955985-0.16853764638262966j)
747,1000,250,44100,0.0310408404124668,-2.990129764882836,1191.8601071923665,-3.0698037133432345,0.0008658342696262,(-0.030685466515465082-0.004683579639603247j),(7488.677913724564-19.288145587603545j),(0.985185687885404-0.16892245863924987j)
966,1250,250,44100,0.0280175371608038,-1.4384264805031506,1195.275681492548,0.3700934354756041,0.0007953798981355,(0.0036978561369224207-0.027772436849287256j),(7510.138599983045+2.3253656360639323j),(0.9855862870892272-0.16948491089665454j)
1115,1500,250,44100,0.0370764261958268,-0.2112640716599896,1180.235893424578,4.029778348945612,0.0015913794133501,(0.03625209211434495-0.0077747795330570905j),(7415.640824571281+25.319844113285484j),(0.9864614209251092-0.1674598961435843j)
1187,1750,250,44100,0.0384990889055671,1.8477027143170588,1186.9276099264407,-8.68658930783801,0.0011065519238556,(-0.01052492703880284+0.03703249596485013j),(7457.686119375595-54.579450308511085j),(0.9845159763580339-0.1680954928149758j)
1324,2000,250,44100,0.0322122438904117,-3.012729706560556,1192.9030627935206,-2.6403234273794114,0.0009462411807084,(-0.03194516101735447-0.004139485962129352j),(7495.230997033776-16.589641365112364j),(0.9852208601916015-0.16907919715596598j)
1541,2250,250,44100,0.0286303046231016,-1.5727751574785775,1193.9751808104584,1.0674058724431228,0.000851534685158,(-5.665448829697724e-05-0.028630248568263413j),(7501.967313205362+6.706708894531837j),(0.9857156001857909-0.16931910980448797j)
1690,2500,250,44100,0.0249086710041413,-0.0941754676479664,1195.386456206761,7.637227671555586,0.0008235933436492,(0.024798294883105587-0.002342319808030213j),(7510.834618039795+47.98611669350342j),(0.986604605085055-0.16967605628455457j)
1837,2750,250,44100,0.038057694956301,1.3145697764684827,1183.3282485972538,1.238868093447758,0.0015139566359541,(0.009645041794678311+0.0368152320944167j),(7435.070665156818+7.78403780228454j),(0.9859953981656803-0.16782775307304945j)
1904,3000,250,44100,0.0366039934663362,-3.0864067855731374,1193.4158554241085,-1.897719633750333,0.0012535711085072,(-0.03654826924520311-0.002018997985073205j),(7498.452968155916-11.923724119926318j),(0.9853127481801075-0.16916907516973095j)
2158,3250,250,44100,0.0375745001541689,-1.8067732737760465,1185.0794934470775,3.315452086747371,0.0015917591571674,(-0.00878465395708191-0.03653317556263029j),(7446.074061066504+20.831599838108982j),(0.9862452431517511-0.1681234978470507j)
2243,3500,250,44100,0.0434596019500431,-0.0625298351014497,1183.960146565361,-0.3493191181867314,0.0018655231787274,(0.0433746665368504-0.0027157511802860454j),(7439.040997185665-2.1948367509078004j),(0.9857572038662008-0.16787853018794757j)
