Column1,onset,duration,sample_rate,amplitude,phase,frequency,decay,power,d,w,z,id,onset_s,dynamicResonance
10062,18500,250,44100,0.1936970638333692,-1.3707586205268614,524.2304931683356,0.3171470549790026,0.03251700896416904,(0.03848882402918201-0.18983456735410167j),(3293.837332250794+1.9926937160593459j),(0.9972570451452257-0.0746241354318371j),75,0.41950113378684806,-1
10215,18750,250,44100,0.1967645067599631,-1.1906515067512409,524.052316875461,1.11743627307857,0.03452977211069915,(0.07301044515733014-0.18271766750486956j),(3292.7178175853173+7.021059172716787j),(0.9973726550531928-0.07460732560336313j),76,0.42517006802721086,-1
10360,19000,250,44100,0.2044945781657086,-1.0103159129973585,524.248007483371,0.3294853078339447,0.0362592605122538,(0.10870792098383789-0.17320687173014462j),(3293.9473779376904+2.0702172451137844j),(0.9972586120100299-0.07462675514046828j),77,0.4308390022675737,-1
10436,19250,250,44100,0.2072732069023609,-0.8352164546743912,524.0913275800287,-0.152258654660062,0.036619422730719976,(0.13908388897079232-0.15368101420913782j),(3292.96292907108-0.9566693418510321j),(0.997191831173285-0.07459937277038949j),78,0.4365079365079365,-1
10648,19500,250,44100,0.2053456975849353,-0.6445617729121809,525.1745573554266,0.8279677839819407,0.0372185787859302,(0.16414578399816937-0.12338159146432674j),(3299.7690624801594+5.202275015133371j),(0.9973195806037933-0.07476371324266799j),79,0.4421768707482993,-1
10797,19750,250,44100,0.2092611341697406,-0.4985468863325859,525.3270354727116,0.4338916122063244,0.03811083189188636,(0.18378951211224676-0.10005817063862643j),(3300.727110746351+2.7262214027232403j),(0.9972619619863415-0.07478118063736833j),80,0.4478458049886621,-1
10954,20000,250,44100,0.2127332347682322,-0.3596211419792924,524.8023007845117,0.0161673683854061,0.0388050925747736,(0.19912473620685053-0.07486500254129429j),(3297.430105463285+0.10158257149494371j),(0.9972081987616516-0.07470217702648711j),81,0.45351473922902497,-1
11096,20250,250,44100,0.2123880918205978,-0.204148597982383,525.5377951107857,0.1335568676414559,0.03884084098471826,(0.2079776294781133-0.04305818370367364j),(3302.0513526076447+0.8391625484377244j),(0.9972170437162301-0.07480792541222903j),82,0.45918367346938777,-1
11164,20500,250,44100,0.2133176685784624,-0.0784852903247348,525.9301788494389,-0.1264623599341625,0.03882179452937249,(0.21266099366745492-0.016725115847773895j),(3304.5167723491263-0.7945864418495866j),(0.9971759174807495-0.07486090154015791j),83,0.46485260770975056,-1
11409,20750,250,44100,0.211525129300523,0.0508740897801504,526.1267130355703,0.1071594578942154,0.038489736874161344,(0.21125145651880697+0.010756507067147094j),(3305.751633059786+0.6733027313662638j),(0.9972070128320026-0.0748913165603594j),84,0.47052154195011336,-1
11487,21000,250,44100,0.2109249596917232,0.1581257896159563,525.601713405215,-0.2225620614547394,0.037826864862760046,(0.20829349050812712+0.033213859048533245j),(3302.452963096063-1.3983986744680192j),(0.9971657665840682-0.07481321088390012j),85,0.47619047619047616,-1
