onset,duration,sample_rate,amplitude,phase,frequency,decay,power,d,w,z,id,onset_s,dynamicResonance
250,250,44100,2.3915948537052113e-5,-0.9106324521974928,227.59741582720383,86.0726314615592,2.155012730266465e-7,(1.4666367032631572e-05-1.889101036183779e-05j),(1430.0367390775298+540.8102933495521j),(1.0118065739999806-0.03282149528323099j),108,0.005668934240362812,1
250,250,44100,2.0828214876170762e-5,-2.3727783174966195,420.46464277908564,75.19629367408751,8.612317661159541e-8,(-1.4969978416750958e-05-1.44815151531168e-05j),(2641.857265698064+472.4722475673879j),(1.0089580998408467-0.060515113165903106j),110,0.005668934240362812,1
500,250,44100,0.0002019688394050886,2.573866281228456,654.0586503837235,-18.686271679396224,1.1515060466233056e-7,(-0.00017028512322029324+0.00010860197466201073j),(4109.571702124721-117.40930766194836j),(0.9930139142548792-0.09280534440305506j),173,0.011337868480725623,1
500,250,44100,0.0002674705144440874,-1.069931475672726,782.3767717886811,-1.870282938322637,3.4123527773157476e-7,(0.00012843515177261744-0.0002346164697674259j),(4915.818237181237-11.751334278337456j),(0.9935288910123918-0.11120946174258949j),175,0.011337868480725623,1
500,250,44100,6.988020126695121e-5,2.3535910067109675,899.2344270205845,35.20491060946236,1.1130054443700535e-7,(-4.9283951553659986e-05+4.954124189365973e-05j),(5650.05653956579+221.19897708194463j),(0.99679119306513-0.1284114607309006j),218,0.011337868480725623,1
500,250,44100,0.0001447234410309614,0.8107752549183956,423.3128490164433,44.1630321248549,7.495456367051085e-7,(9.970529257018066e-05+0.00010489866070325607j),(2659.753073280447+277.4845145673884j),(1.0044823175372781-0.06065576135263998j),220,0.011337868480725623,1
500,250,44100,0.0005346374015042622,-2.9403459776020604,200.64467852449837,34.952577930616435,6.434898061376243e-6,(-0.0005238474243222518-0.00010686920565893725j),(1260.6876960688996+219.61352410169866j),(1.0045816979377995-0.0287258252011851j),222,0.011337868480725623,1
750,250,44100,0.00040618938851919815,-1.2515832977151922,532.816868922952,-122.72138152979402,9.779677793631845e-8,(0.00012747012750061157-0.00038566978873199014j),(3347.7871222341237-771.081181304782j),(0.9798370088525505-0.07452611250240235j),260,0.017006802721088437,1
750,250,44100,0.0004340630946272541,2.729604371289458,893.7088811332852,-51.786096921241295,2.554970816045983e-7,(-0.00039774350006943816+0.00017381276785639595j),(5615.338510832565-325.38164329172133j),(0.984612632811023-0.12605463224052046j),262,0.017006802721088437,1
750,250,44100,0.00041985098447109496,0.9633445770916409,694.6233723191021,-4.705550854828445,7.633418115216965e-7,(0.0002396412576856454+0.00034474181176090277j),(4364.447366978918-29.56584799324443j),(0.9944398330840359-0.0987393646710686j),264,0.017006802721088437,1
