onset,duration,sample_rate,amplitude,phase,frequency,decay,power,d,w,z,id,onset_s,dynamicResonance
6250,250,44100,0.009486173989800645,-3.1276414681242724,600.6165492781271,22.69820819683104,0.00013141287266316332,(-0.009485250831305315-0.00013233907961026064j),(3773.785077673232+142.61704824163203j),(0.9995681627989992-0.08574580604332888j),305,0.1417233560090703,1
6500,250,44100,0.019934659615697063,0.5610823049937523,596.9237137863626,13.910360756382484,0.000397723106009155,(0.016878271810814947+0.010607289695014128j),(3750.5823079695456+87.40137432206994j),(0.9983623502012929-0.0851132482006499j),371,0.1473922902494331,1
6750,250,44100,0.03317171234748187,-1.8405951930848699,598.3645991753782,11.401316906667024,0.000994232006902794,(-0.00884150808212529-0.03197170991513895j),(3759.6356578751383+71.63658687046845j),(0.9979880334336394-0.08528770764728354j),443,0.15306122448979592,1
7000,250,44100,0.04874085370399592,1.9579453442037658,598.0638598648245,10.025681874670866,0.0020317146821738625,(-0.018402108046891727+0.04513350461934964j),(3757.7460570577764+62.993217049388676j),(0.997796104938479-0.08522823975960447j),511,0.15873015873015872,1
7250,250,44100,0.06894237177029768,-0.49503888515796285,598.1497764790128,8.574812770612889,0.0038391477239364076,(0.060665856412406356-0.03275216773075079j),(3758.285887065687+53.87713761213078j),(0.9975888248696793-0.0852228352597902j),585,0.16439909297052155,1
7500,250,44100,0.0949625334113719,-2.914858425318933,598.4976934596724,6.950265851884977,0.006839635174246193,(-0.09253203612469235-0.02134724906222233j),(3760.4719139266854+43.669808281555696j),(0.9973537262381124-0.08525255067413341j),657,0.17006802721088435,1
7750,250,44100,0.1244701000187034,0.9105244504882593,597.9907031055984,6.217869301465742,0.011425936710148738,(0.07634144677675288+0.0983096602715025j),(3757.286399583086+39.068025036932546j),(0.9972558138557218-0.08517161969479885j),723,0.17573696145124718,1
8000,250,44100,0.1563809203741909,-1.5278027475577796,597.1676423080037,5.134731795352893,0.017310714954819537,(0.006721304381205724-0.1562364116475229j),(3752.114956072723+32.26247137286916j),(0.997111907633646-0.08504154991222786j),787,0.18140589569160998,1
8250,250,44100,0.18708984234684967,2.3393385961066926,596.9847851437647,3.7917659083367696,0.02356446135004275,(-0.13004390039844965+0.13450350582244008j),(3750.966030625065+23.824367843526048j),(0.9969233530797157-0.08499930705298887j),850,0.1870748299319728,1
8500,250,44100,0.026819062440128588,2.003148651223093,612.1177682086155,-17.75976465153963,0.00024002838035374743,(-0.011237397140451261+0.02435124258996435j),(3846.049367471933-111.5878923175212j),(0.9936819084597082-0.08688137346578499j),879,0.1927437641723356,1
8500,250,44100,0.22888307636131167,-0.17790160754071185,594.9526228006907,1.26646005993403,0.03215912662767139,(0.22527066071875815-0.04050422279160744j),(3738.1975780492585+7.957403240707276j),(0.9965892890170351-0.08468018721692636j),919,0.1927437641723356,1
