onset,duration,sample_rate,amplitude,phase,frequency,decay,d,w,z
0,250,44100,5.2515275848441306e-05,2.7396215347395474,21534.947044276105,-20.099240310797597,(-4.8329368041734524e-05+2.0545714446678468e-05j),(135308.0628594861-126.28725140627513j),(-0.9944568399970264-0.07310711446002202j)
0,250,44100,5.2515275848441306e-05,-2.7396215347395474,-21534.947044276105,-20.099240310797597,(-4.8329368041734524e-05-2.0545714446678468e-05j),(-135308.0628594861-126.28725140627513j),(-0.9944568399970264+0.07310711446002202j)
0,250,44100,0.00010023721347463978,3.076568541608691,21293.68875028669,-68.68704666070667,(-0.00010002537988658094+6.513243716127503e-06j),(133792.19229145657-431.5734423721108j),(-0.9845178953514115-0.10650032711599904j)
0,250,44100,0.00010023721347463978,-3.076568541608691,-21293.68875028669,-68.68704666070667,(-0.00010002537988658094-6.513243716127503e-06j),(-133792.19229145657-431.5734423721108j),(-0.9845178953514115+0.10650032711599904j)
0,250,44100,0.00010854333870458817,3.0548767334194267,21929.386357443098,-109.19417202765665,(-0.00010813549037133643+9.400643557201682e-06j),(137786.39815655095-686.0872173138124j),(-0.9844174888608526-0.016918419377909708j)
0,250,44100,0.00010854333870458817,-3.0548767334194267,-21929.386357443098,-109.19417202765665,(-0.00010813549037133643-9.400643557201682e-06j),(-137786.39815655095-686.0872173138124j),(-0.9844174888608526+0.016918419377909708j)
0,250,44100,0.0001348267600751543,2.97454885810033,20880.147660438754,-94.69964173428467,(-0.00013295005209661807+2.2417378969669162e-05j),(131193.836991809-595.0153975400282j),(-0.9729256581313234-0.16368162959023427j)
0,250,44100,0.0001348267600751543,-2.97454885810033,-20880.147660438754,-94.69964173428467,(-0.00013295005209661807-2.2417378969669162e-05j),(-131193.836991809-595.0153975400282j),(-0.9729256581313234+0.16368162959023427j)
0,250,44100,0.00018858891654188566,-2.8459474085340672,20264.994987061942,-95.46963777232473,(-0.0001804068628163751-5.4946731396834955e-05j),(127328.71875277557-599.853425332828j),(-0.954759096937412-0.24818850151032432j)
0,250,44100,0.00018858891654188566,2.8459474085340672,-20264.994987061942,-95.46963777232473,(-0.0001804068628163751+5.4946731396834955e-05j),(-127328.71875277557-599.853425332828j),(-0.954759096937412+0.24818850151032432j)
0,250,44100,0.00014022743805463416,2.9905042973593665,19904.94858815976,-129.4926202647368,(-0.00013862994610740415+2.1106217700584818e-05j),(125066.48050929046-813.6261290355798j),(-0.9362278501313839-0.29538237124356087j)
0,250,44100,0.00014022743805463416,-2.9905042973593665,-19904.94858815976,-129.4926202647368,(-0.00013862994610740415-2.1106217700584818e-05j),(-125066.48050929046-813.6261290355798j),(-0.9362278501313839+0.29538237124356087j)
0,250,44100,0.00012243577609902533,3.0613844773471173,19524.21518446918,-138.69138901288392,(-0.00012204215100018474+9.809824066657428e-06j),(122674.26198126932-871.4236976780805j),(-0.9176320441551328-0.3452561726455684j)
0,250,44100,0.00012243577609902533,-3.0613844773471173,-19524.21518446918,-138.69138901288392,(-0.00012204215100018474-9.809824066657428e-06j),(-122674.26198126932-871.4236976780805j),(-0.9176320441551328+0.3452561726455684j)
0,250,44100,0.00012797687189157572,-3.0641547854422013,19142.16462722858,-139.0857096989468,(-0.00012759334904874906-9.900354421780573e-06j),(120273.7675334154-873.9012876190678j),(-0.8974384672313149-0.3946474229651181j)
0,250,44100,0.00012797687189157572,3.0641547854422013,-19142.16462722858,-139.0857096989468,(-0.00012759334904874906+9.900354421780573e-06j),(-120273.7675334154-873.9012876190678j),(-0.8974384672313149+0.3946474229651181j)
0,250,44100,0.00014389786339132803,-2.971448212309245,18767.358600579275,-147.74129368438062,(-0.00014182002425000838-2.4365463474277194e-05j),(117918.79181373015-928.2859257414045j),(-0.8740161934272384-0.4414413000606231j)
0,250,44100,0.00014389786339132803,2.971448212309245,-18767.358600579275,-147.74129368438062,(-0.00014182002425000838+2.4365463474277194e-05j),(-117918.79181373015-928.2859257414045j),(-0.8740161934272384+0.4414413000606231j)
0,250,44100,0.00014656436790184204,3.071246602554679,18432.336598264985,-150.77326619359403,(-0.00014620187563402248+1.0301723135492028e-05j),(115813.78649120711-947.3363708630666j),(-0.8515896362050809-0.4824332373172699j)
0,250,44100,0.00014656436790184204,-3.071246602554679,-18432.336598264985,-150.77326619359403,(-0.00014620187563402248-1.0301723135492028e-05j),(-115813.78649120711-947.3363708630666j),(-0.8515896362050809+0.4824332373172699j)
0,250,44100,0.00016090597661942772,3.0918652088446503,18052.875854421403,-146.41401580089777,(-0.00016070707195356724+7.998145782791438e-06j),(113429.56432083767-919.9463928453606j),(-0.8247879199705115-0.5280741441488526j)
0,250,44100,0.00016090597661942772,-3.0918652088446503,-18052.875854421403,-146.41401580089777,(-0.00016070707195356724-7.998145782791438e-06j),(-113429.56432083767-919.9463928453606j),(-0.8247879199705115+0.5280741441488526j)
0,250,44100,0.0001664598889353628,2.9896707799652904,17698.91336962284,-142.5810586111048,(-0.00016454261239851774+2.519173137052058e-05j),(111205.55243705855-895.863212547405j),(-0.797554653511263-0.5692909088477038j)
0,250,44100,0.0001664598889353628,-2.9896707799652904,-17698.91336962284,-142.5810586111048,(-0.00016454261239851774-2.519173137052058e-05j),(-111205.55243705855-895.863212547405j),(-0.797554653511263+0.5692909088477038j)
0,250,44100,0.00017425493507332575,-3.1335960358662898,17269.197268170028,-135.2769610219886,(-0.00017424936365912285-1.3934352513604305e-06j),(108505.56654215178-849.9702138932643j),(-0.7620203408383406-0.6176658435361437j)
0,250,44100,0.00017425493507332575,3.1335960358662898,-17269.197268170028,-135.2769610219886,(-0.00017424936365912285+1.3934352513604305e-06j),(-108505.56654215178-849.9702138932643j),(-0.7620203408383406+0.6176658435361437j)
0,250,44100,0.00015766912585201258,3.031260211146584,16848.552814614657,-150.72699446024515,(-0.00015671042631076505+1.7360746885893474e-05j),(105862.57949202607-947.0456369879513j),(-0.7220654385902789-0.6607426656162615j)
0,250,44100,0.00015766912585201258,-3.031260211146584,-16848.552814614657,-150.72699446024515,(-0.00015671042631076505-1.7360746885893474e-05j),(-105862.57949202607-947.0456369879513j),(-0.7220654385902789+0.6607426656162615j)
0,250,44100,0.00015929576993887386,-2.6341769305994736,16334.137413368835,-174.00552576460072,(-0.00013922500903666468-7.740503329344457e-05j),(102630.41220113143-1093.3089628521982j),(-0.6695190613302126-0.7094858926350696j)
0,250,44100,0.00015929576993887386,2.6341769305994736,-16334.137413368835,-174.00552576460072,(-0.00013922500903666468+7.740503329344457e-05j),(-102630.41220113143-1093.3089628521982j),(-0.6695190613302126+0.7094858926350696j)
0,250,44100,0.00013621181714890352,3.124889992574409,16025.051206832199,-234.41976644754365,(-0.00013619281748018287+2.2749940254686185e-06j),(100688.36628956857-1472.9028322556765j),(-0.6321712653490534-0.7319448934462548j)
0,250,44100,0.00013621181714890352,-3.124889992574409,-16025.051206832199,-234.41976644754365,(-0.00013619281748018287-2.2749940254686185e-06j),(-100688.36628956857-1472.9028322556765j),(-0.6321712653490534+0.7319448934462548j)
0,250,44100,0.00017978313476321462,-2.7740185992122925,15645.27287211133,-239.83680760635897,(-0.00016777395587434004-6.460553595136555e-05j),(98302.14863686528-1506.939105673132j),(-0.5912039249162597-0.7644730307610402j)
0,250,44100,0.00017978313476321462,2.7740185992122925,-15645.27287211133,-239.83680760635897,(-0.00016777395587434004+6.460553595136555e-05j),(-98302.14863686528-1506.939105673132j),(-0.5912039249162597+0.7644730307610402j)
0,250,44100,0.00016815436807132494,3.1339134472434793,15046.604521544052,-125.03927166852742,(-0.0001681494100464817+1.2912793991968515e-06j),(94540.60445270751-785.6449145681282j),(-0.5325670778403643-0.825451049181443j)
0,250,44100,0.00016815436807132494,-3.1339134472434793,-15046.604521544052,-125.03927166852742,(-0.0001681494100464817-1.2912793991968515e-06j),(-94540.60445270751-785.6449145681282j),(-0.5325670778403643+0.825451049181443j)
0,250,44100,8.833655749199398e-05,-3.1297588119813398,14821.459453566436,-92.06282957384835,(-8.833037224693563e-05-1.0453364310789516e-06j),(93125.97626960662-578.4478181157822j),(-0.5082011449262913-0.8460728355615109j)
0,250,44100,8.833655749199398e-05,3.1297588119813398,-14821.459453566436,-92.06282957384835,(-8.833037224693563e-05+1.0453364310789516e-06j),(-93125.97626960662-578.4478181157822j),(-0.5082011449262913+0.8460728355615109j)
0,250,44100,0.00014845409821315515,-3.0432344674108682,14547.79799212369,-139.45300832904584,(-0.00014773657977745856-1.4578143638328699e-05j),(91406.51059592825-876.2090929750533j),(-0.471639487663409-0.8594172411671777j)
0,250,44100,0.00014845409821315515,3.0432344674108682,-14547.79799212369,-139.45300832904584,(-0.00014773657977745856+1.4578143638328699e-05j),(-91406.51059592825-876.2090929750533j),(-0.471639487663409+0.8594172411671777j)
0,250,44100,0.00018218830560318155,-2.8503696470285957,14110.44256378066,-168.33141082765155,(-0.00017451698232802792-5.2310625858204575e-05j),(88658.5253945481-1057.6574472491109j),(-0.4154932064761786-0.8834768138393471j)
0,250,44100,0.00018218830560318155,2.8503696470285957,-14110.44256378066,-168.33141082765155,(-0.00017451698232802792+5.2310625858204575e-05j),(-88658.5253945481-1057.6574472491109j),(-0.4154932064761786+0.8834768138393471j)
