Id,Level
ResonanceId(209),1
ResonanceId(210),1
PairId(106),2
ResonanceId(211),1
ResonanceId(212),1
PairId(107),2
ResonanceId(213),1
ResonanceId(214),1
PairId(108),2
ResonanceId(215),1
ResonanceId(216),1
PairId(109),2
ResonanceId(217),1
ResonanceId(218),1
PairId(110),2
ResonanceId(219),1
ResonanceId(220),1
PairId(111),2
ResonanceId(221),1
ResonanceId(222),1
PairId(112),2
ResonanceId(223),1
ResonanceId(224),1
PairId(113),2
ResonanceId(225),1
ResonanceId(226),1
PairId(114),2
ResonanceId(227),1
ResonanceId(228),1
PairId(115),2
ResonanceId(229),1
ResonanceId(230),1
PairId(116),2
ResonanceId(231),1
ResonanceId(232),1
PairId(117),2
ResonanceId(233),1
ResonanceId(234),1
PairId(118),2
ResonanceId(235),1
ResonanceId(236),1
PairId(119),2
ResonanceId(237),1
ResonanceId(238),1
PairId(120),2
ResonanceId(239),1
ResonanceId(240),1
PairId(121),2
ResonanceId(241),1
ResonanceId(242),1
PairId(122),2
ResonanceId(243),1
ResonanceId(244),1
PairId(123),2
ResonanceId(245),1
ResonanceId(246),1
PairId(124),2
ResonanceId(247),1
ResonanceId(248),1
PairId(125),2
ResonanceId(249),1
ResonanceId(250),1
PairId(126),2
ResonanceId(251),1
ResonanceId(252),1
PairId(127),2
ResonanceId(253),1
ResonanceId(254),1
PairId(128),2
ResonanceId(255),1
ResonanceId(256),1
SliceId(3),3
PairId(129),2
ResonanceId(257),1
ResonanceId(258),1
PairId(130),2
ResonanceId(259),1
ResonanceId(260),1
PairId(131),2
ResonanceId(261),1
ResonanceId(262),1
PairId(132),2
ResonanceId(263),1
ResonanceId(264),1
PairId(133),2
ResonanceId(265),1
ResonanceId(266),1
PairId(134),2
ResonanceId(267),1
ResonanceId(268),1
PairId(135),2
ResonanceId(269),1
ResonanceId(270),1
PairId(136),2
ResonanceId(271),1
ResonanceId(272),1
PairId(137),2
ResonanceId(273),1
ResonanceId(274),1
PairId(138),2
ResonanceId(275),1
ResonanceId(276),1
PairId(139),2
ResonanceId(277),1
ResonanceId(278),1
PairId(140),2
ResonanceId(279),1
ResonanceId(280),1
PairId(141),2
ResonanceId(281),1
ResonanceId(282),1
PairId(142),2
ResonanceId(283),1
ResonanceId(284),1
PairId(143),2
ResonanceId(285),1
ResonanceId(286),1
PairId(144),2
ResonanceId(287),1
ResonanceId(288),1
PairId(145),2
ResonanceId(289),1
ResonanceId(290),1
PairId(146),2
ResonanceId(291),1
ResonanceId(292),1
PairId(147),2
ResonanceId(293),1
ResonanceId(294),1
PairId(148),2
ResonanceId(295),1
ResonanceId(296),1
PairId(149),2
ResonanceId(297),1
ResonanceId(298),1
PairId(150),2
ResonanceId(299),1
ResonanceId(300),1
PairId(151),2
ResonanceId(301),1
ResonanceId(302),1
PairId(152),2
ResonanceId(303),1
ResonanceId(304),1
PairId(153),2
ResonanceId(305),1
ResonanceId(306),1
PairId(154),2
ResonanceId(307),1
ResonanceId(308),1
PairId(155),2
ResonanceId(309),1
ResonanceId(310),1
PairId(156),2
ResonanceId(311),1
ResonanceId(312),1
PairId(157),2
ResonanceId(313),1
ResonanceId(314),1
PairId(158),2
ResonanceId(315),1
ResonanceId(316),1
PairId(159),2
ResonanceId(317),1
ResonanceId(318),1
PairId(160),2
ResonanceId(319),1
ResonanceId(320),1
PairId(161),2
ResonanceId(321),1
ResonanceId(322),1
PairId(162),2
ResonanceId(323),1
ResonanceId(324),1
PairId(163),2
ResonanceId(325),1
ResonanceId(326),1
PairId(164),2
ResonanceId(327),1
ResonanceId(328),1
PairId(165),2
ResonanceId(329),1
ResonanceId(330),1
PairId(166),2
ResonanceId(331),1
ResonanceId(332),1
PairId(167),2
ResonanceId(333),1
ResonanceId(334),1
PairId(168),2
ResonanceId(335),1
ResonanceId(336),1
PairId(169),2
ResonanceId(337),1
ResonanceId(338),1
PairId(170),2
ResonanceId(339),1
ResonanceId(340),1
PairId(171),2
ResonanceId(341),1
ResonanceId(342),1
PairId(172),2
ResonanceId(343),1
ResonanceId(344),1
PairId(173),2
ResonanceId(345),1
ResonanceId(346),1
PairId(174),2
ResonanceId(347),1
ResonanceId(348),1
PairId(175),2
ResonanceId(349),1
ResonanceId(350),1
SliceId(4),3
PairId(175),2
ResonanceId(349),1
ResonanceId(350),1
PairId(176),2
ResonanceId(351),1
ResonanceId(352),1
PairId(177),2
ResonanceId(353),1
ResonanceId(354),1
PairId(178),2
ResonanceId(355),1
ResonanceId(356),1
PairId(179),2
ResonanceId(357),1
ResonanceId(358),1
PairId(180),2
ResonanceId(359),1
ResonanceId(360),1
PairId(181),2
ResonanceId(361),1
ResonanceId(362),1
PairId(182),2
ResonanceId(363),1
