onset,duration,sample_rate,amplitude,phase,frequency,decay,power,d,w,z
0,250,44100,1.56092132059483e-07,3.137183315248231,-18438.311202065746,223.94163172152903,1.2541377616472313e-08,(-1.560906146696739e-07+6.882607924762626e-10j),(-115851.32603402427+1407.0667700985332j),(-0.8987225304607606+0.5081243880896793j)
0,250,44100,1.56092132059483e-07,-3.137183315248231,18438.311202065746,223.94163172152903,1.2541377616472313e-08,(-1.560906146696739e-07-6.882607924762626e-10j),(115851.32603402427+1407.0667700985332j),(-0.8987225304607606-0.5081243880896793j)
0,250,44100,1.1319875755479088e-07,-0.19049928509798744,-18286.45814160959,264.5403647308935,1.0009711318278778e-07,(1.1115097146122691e-07-2.1434090957487447e-08j),(-114897.20511571589+1662.1561328330788j),(-0.8926681734501664+0.5305079487252184j)
0,250,44100,1.1319875755479088e-07,0.19049928509798744,18286.45814160959,264.5403647308935,1.0009711318278778e-07,(1.1115097146122691e-07+2.1434090957487447e-08j),(114897.20511571589+1662.1561328330788j),(-0.8926681734501664-0.5305079487252184j)
0,250,44100,1.9441136829259019e-07,-2.484170497731942,-18113.07029932361,279.7870376091592,8.25268971620171e-07,(-1.538902310179048e-07-1.1880057625555964e-07j),(-113807.77717262105+1757.9538038451715j),(-0.8812038372766207+0.553597203766912j)
0,250,44100,1.9441136829259019e-07,2.484170497731942,18113.07029932361,279.7870376091592,8.25268971620171e-07,(-1.538902310179048e-07+1.1880057625555964e-07j),(113807.77717262105+1757.9538038451715j),(-0.8812038372766207-0.553597203766912j)
0,250,44100,2.2699076260323993e-07,0.35617382329802694,-17968.34266247336,291.5908628097899,2.4984549993642604e-06,(2.127443305147719e-07+7.914958080130257e-08j),(-112898.42661122073+1832.1194249142902j),(-0.8710657228965005+0.5726110068762165j)
0,250,44100,2.2699076260323993e-07,-0.35617382329802694,17968.34266247336,291.5908628097899,2.4984549993642604e-06,(2.127443305147719e-07-7.914958080130257e-08j),(112898.42661122073+1832.1194249142902j),(-0.8710657228965005-0.5726110068762165j)
0,250,44100,1.0492681801147879e-07,-2.4709002027618587,-17811.29410985927,315.6476822778805,2.727502145872763e-06,(-8.219877480647986e-08-6.521501788949844e-08j),(-111911.66145292208+1983.272879533669j),(-0.8609821916738971+0.5939891062444778j)
0,250,44100,1.0492681801147879e-07,2.4709002027618587,17811.29410985927,315.6476822778805,2.727502145872763e-06,(-8.219877480647986e-08+6.521501788949844e-08j),(111911.66145292208+1983.272879533669j),(-0.8609821916738971-0.5939891062444778j)
0,250,44100,1.3555297987875846e-07,1.19235665410868,-17647.60412691129,310.59142805680807,3.22930663512967e-06,(5.0082894714215956e-08+1.2596155767160015e-07j),(-110883.16695713084+1951.503497302462j),(-0.846286493183414+0.6134633758099172j)
